,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
1055,(주)폴라리스오피스,041020,2016.0,1,-29.21
1056,(주)폴라리스오피스,041020,2017.0,1,-29.21
1057,(주)폴라리스오피스,041020,2018.0,1,-29.21
1058,넥슨지티(주),041140,2018.0,1,-29.21
1059,(주)플래스크,041590,2016.0,1,-2.28
1060,(주)플래스크,041590,2017.0,1,-0.21
1061,(주)플래스크,041590,2018.0,1,-0.72
1062,(주)에스텍파마,041910,2015.0,0,0.62
1063,(주)코미팜,041960,2012.0,1,0.59
1064,(주)코미팜,041960,2013.0,1,0.4
1065,(주)코미팜,041960,2014.0,1,0.08
1066,(주)코미팜,041960,2015.0,1,-0.39
1067,(주)코미팜,041960,2016.0,1,0.42
1068,(주)코미팜,041960,2017.0,1,-0.11
1069,(주)코미팜,041960,2018.0,1,-5.59
1070,(주)케이피엠테크,042040,2012.0,1,-2.39
1071,(주)케이피엠테크,042040,2013.0,0,-2.12
1072,(주)케이피엠테크,042040,2016.0,1,-2.13
1073,(주)케이피엠테크,042040,2017.0,1,-0.98
1074,(주)케이피엠테크,042040,2018.0,1,-0.17
1075,라온시큐어(주),042510,2011.0,0,-17.44
1076,라온시큐어(주),042510,2014.0,0,-29.21
1077,대우조선해양(주),042660,2013.0,1,-29.21
1078,대우조선해양(주),042660,2014.0,1,-4.01
1079,대우조선해양(주),042660,2015.0,1,-22.28
1080,대우조선해양(주),042660,2016.0,0,-13.27
1081,(주)상지카일룸,042940,2012.0,1,-5.95
1082,(주)상지카일룸,042940,2013.0,1,-4.34
1083,(주)상지카일룸,042940,2014.0,1,-10.95
1084,(주)상지카일룸,042940,2015.0,1,0.3
1085,(주)상지카일룸,042940,2016.0,1,-4.81
1086,(주)상지카일룸,042940,2017.0,0,-6.78
1087,(주)엑서지21,043090,2011.0,0,-0.32
1088,(주)엑서지21,043090,2015.0,1,0.1
1089,(주)엑서지21,043090,2016.0,0,-3.32
1090,(주)솔고바이오메디칼,043100,2011.0,1,-2.22
