회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)서울옥션,063170,2010/12,-0.86
(주)서울제약,018680,2009/12,4.43
(주)서울제약,018680,2010/12,4.43
(주)서원,021050,2009/12,4.82
(주)서원,021050,2010/12,3.57
(주)서원인텍,093920,2009/12,952.31
(주)서원인텍,093920,2010/12,264.08
(주)서전기전,189860,2010/12,
(주)서진시스템,178320,2009/12,
(주)서진시스템,178320,2010/12,4.36
(주)서진오토모티브,122690,2010/12,
(주)서플러스글로벌,140070,2009/12,-1.3
(주)서플러스글로벌,140070,2010/12,11.9
(주)서한,011370,2009/12,1.43
(주)서한,011370,2010/12,6.71
(주)서흥,008490,2009/12,6.99
(주)서흥,008490,2010/12,8.2
(주)서희건설,035890,2009/12,3.91
(주)서희건설,035890,2010/12,1.81
(주)선광,003100,2009/12,2.6
(주)선광,003100,2010/12,6.24
(주)선앤엘,002820,2009/12,2.74
(주)선앤엘,002820,2010/12,1.43
(주)선익시스템,171090,2009/12,-11.11
(주)선익시스템,171090,2010/12,27.02
(주)성광벤드,014620,2009/12,49.83
(주)성광벤드,014620,2010/12,29.93
(주)성도이엔지,037350,2009/12,1.58
(주)성도이엔지,037350,2010/12,7.23
(주)성안,011300,2009/12,1.11
(주)성안,011300,2010/12,-0.69
(주)성우하이텍,015750,2009/12,3.36
(주)성우하이텍,015750,2010/12,2.13
(주)성창오토텍,080470,2009/12,12.57
(주)성창오토텍,080470,2010/12,34.61
(주)세동,053060,2009/12,-1.21
(주)세동,053060,2010/12,0.99
(주)세보엠이씨,011560,2009/12,229.17
(주)세보엠이씨,011560,2010/12,387.75
(주)세아메카닉스,396300,2009/12,-3.38
(주)세아메카닉스,396300,2010/12,5.55
(주)세아베스틸지주,001430,2009/12,0.03
(주)세아베스틸지주,001430,2010/12,5.55
(주)세아제강지주,003030,2009/12,1.16
(주)세아제강지주,003030,2010/12,9.34
(주)세아특수강,019440,2009/12,1.64
(주)세아특수강,019440,2010/12,8.33
(주)세아홀딩스,058650,2009/12,2.43
(주)세아홀딩스,058650,2010/12,24.28
(주)세우글로벌,013000,2009/12,9.49
(주)세우글로벌,013000,2010/12,8.02
(주)세운메디칼,100700,2009/12,43.77
